[CONFIG] STEP6.1
STEP1_CSV:             /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step1/pdb/pdb_assemblies.csv | exists=True
STEP5_REMAP_CSV:       /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/pdb_assemblies_remapped.csv | exists=True
STEP5_CHAIN_MAP_CSV:   /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/chain_map.csv | exists=True
STEP5_PDB_DIR:         /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/1_mhc_configured | exists=True
ORIGINAL_LIST_CSV:     /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_list.csv | exists=True
ORIGINAL_CONTACTS_CSV: /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_mhc_contacts.csv | exists=True
ORIGINAL_BINDER_CSV:   /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_binder_contacts.csv | exists=True
MANUAL_LIGANDS_CSV:    /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/manual_problematic_ligands.csv | exists=True
POSSIBLE_LIGANDS_CSV:  /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/possible_ligands.csv | exists=True
Output dir:            /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/2_trimmed_mhc

[INIT] problematic_list_current.csv
[INIT] problematic_mhc_contacts_current.csv
[INIT] problematic_binder_contacts_current.csv
[CSV] remapped=      1173
[CSV] duplicate_pdbs= 9
[CSV] problematic=   165
[CSV] mhc_contacts=  164
[CSV] binder_auto=   5
[CSV] manual_rows=   22

[START] STEP6.1
[SAVED] 8RLV: non-problematic trimmed; trimmed_removed=134; output=8rlv_trimmed_mhc.pdb
[SAVED] 7KP1: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=254; output=7kp1_trimmed_mhc.pdb
[MHC_AUTO] 7OKS: [169] -> chain E
[SAVED] 7OKS: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=65; output=7oks_trimmed_mhc.pdb
[MHC_AUTO] 8SGB: [275] -> chain F
[SAVED] 8SGB: action=auto_non_aminoacid_only; new_ligand_chains=['F']; moved=1; trimmed_removed=105; output=8sgb_trimmed_mhc.pdb
[MHC_AUTO] 6NUX: [271] -> chain C
[SAVED] 6NUX: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=172; output=6nux_trimmed_mhc.pdb
[MHC_AUTO] 1GZP: [278] -> chain C
[SAVED] 1GZP: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=130; output=1gzp_trimmed_mhc.pdb
[SAVED] 1HYR: non-problematic trimmed; trimmed_removed=136; output=1hyr_trimmed_mhc.pdb
[MHC_AUTO] 8GLH: [282] -> chain E
[MHC_AUTO] 8GLH: [283] -> chain F
[SAVED] 8GLH: action=auto_non_aminoacid_only; new_ligand_chains=['E', 'F']; moved=2; trimmed_removed=384; output=8glh_trimmed_mhc.pdb
[SAVED] 7FI5: non-problematic trimmed; trimmed_removed=112; output=7fi5_trimmed_mhc.pdb
[MHC_AUTO] 7KP0: [275] -> chain C
[SAVED] 7KP0: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=172; output=7kp0_trimmed_mhc.pdb
[MHC_AUTO] 5C9J: [284] -> chain C
[MHC_AUTO] 5C9J: [283] -> chain D
[MHC_AUTO] 5C9J: [282] -> chain E
[SAVED] 5C9J: action=auto_non_aminoacid_only; new_ligand_chains=['C', 'D', 'E']; moved=3; trimmed_removed=189; output=5c9j_trimmed_mhc.pdb
[MHC_AUTO] 4X6D: [268] -> chain F
[SAVED] 4X6D: action=auto_non_aminoacid_only; new_ligand_chains=['F']; moved=1; trimmed_removed=97; output=4x6d_trimmed_mhc.pdb
[MHC_AUTO] 4V3E: [168] -> chain E
[SAVED] 4V3E: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=4; output=4v3e_trimmed_mhc.pdb
[MHC_AUTO] 5WL1: [281] -> chain F
[MHC_AUTO] 5WL1: [287] -> chain G
[SAVED] 5WL1: action=auto_non_aminoacid_only; new_ligand_chains=['F', 'G']; moved=2; trimmed_removed=607; output=5wl1_trimmed_mhc.pdb
[MHC_AUTO] 3OV6: [379] -> chain B
[SAVED] 3OV6: action=auto_non_aminoacid_only; new_ligand_chains=['B']; moved=1; trimmed_removed=242; output=3ov6_trimmed_mhc.pdb
[MHC_AUTO] 7OKU: [176] -> chain D
[SAVED] 7OKU: action=auto_non_aminoacid_only; new_ligand_chains=['D']; moved=1; trimmed_removed=60; output=7oku_trimmed_mhc.pdb
[SAVED] 7RYM: non-problematic trimmed; trimmed_removed=101; output=7rym_trimmed_mhc.pdb
[MHC_AUTO] 8GLI: [282] -> chain D
[SAVED] 8GLI: action=auto_non_aminoacid_only; new_ligand_chains=['D']; moved=1; trimmed_removed=272; output=8gli_trimmed_mhc.pdb
[MHC_AUTO] 3T8X: [279] -> chain E
[MHC_AUTO] 3T8X: [278] -> chain F
[SAVED] 3T8X: action=auto_non_aminoacid_only; new_ligand_chains=['E', 'F']; moved=2; trimmed_removed=294; output=3t8x_trimmed_mhc.pdb
[MHC_AUTO] 6D64: [284] -> chain F
[MHC_AUTO] 6D64: [283] -> chain G
[SAVED] 6D64: action=auto_non_aminoacid_only; new_ligand_chains=['F', 'G']; moved=2; trimmed_removed=542; output=6d64_trimmed_mhc.pdb
[MHC_AUTO] 7SH4: [274] -> chain C
[SAVED] 7SH4: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=297; output=7sh4_trimmed_mhc.pdb
[MHC_AUTO] 4V3D: [169] -> chain F
[SAVED] 4V3D: action=auto_non_aminoacid_only; new_ligand_chains=['F']; moved=1; trimmed_removed=2; output=4v3d_trimmed_mhc.pdb
[MHC_AUTO] 6C09: [271] -> chain E
[SAVED] 6C09: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=105; output=6c09_trimmed_mhc.pdb
[MHC_AUTO] 8GLG: [283] -> chain E
[MHC_AUTO] 8GLG: [281] -> chain F
[SAVED] 8GLG: action=auto_non_aminoacid_only; new_ligand_chains=['E', 'F']; moved=2; trimmed_removed=502; output=8glg_trimmed_mhc.pdb
[BINDER_AUTO] 2PO6: C [301] -> chain F
[SAVED] 2PO6: action=auto_non_aminoacid_only; new_ligand_chains=['F']; moved=1; trimmed_removed=103; output=2po6_trimmed_mhc.pdb
[MHC_AUTO] 4X6E: [268] -> chain C
[SAVED] 4X6E: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=181; output=4x6e_trimmed_mhc.pdb
[MHC_AUTO] 7OKV: [169] -> chain B
[SAVED] 7OKV: action=auto_non_aminoacid_only; new_ligand_chains=['B']; moved=1; trimmed_removed=65; output=7okv_trimmed_mhc.pdb
[MHC_AUTO] 4ONO: [375] -> chain C
[SAVED] 4ONO: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=219; output=4ono_trimmed_mhc.pdb
[SAVED] 7FI7: non-problematic trimmed; trimmed_removed=105; output=7fi7_trimmed_mhc.pdb
[MHC_AUTO] 6CUG: [278] -> chain E
[BINDER_AUTO] 6CUG: C [301] -> chain F
[SAVED] 6CUG: action=auto_non_aminoacid_only; new_ligand_chains=['E', 'F']; moved=2; trimmed_removed=211; output=6cug_trimmed_mhc.pdb
[MHC_AUTO] 1GZQ: [279] -> chain C
[SAVED] 1GZQ: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=245; output=1gzq_trimmed_mhc.pdb
[MHC_AUTO] 7Q5D: [175] -> chain D
[SAVED] 7Q5D: action=auto_non_aminoacid_only; new_ligand_chains=['D']; moved=1; trimmed_removed=71; output=7q5d_trimmed_mhc.pdb
[MHC_AUTO] 2H26: [285] -> chain E
[MHC_AUTO] 2H26: [284] -> chain F
[SAVED] 2H26: action=auto_non_aminoacid_only; new_ligand_chains=['E', 'F']; moved=2; trimmed_removed=287; output=2h26_trimmed_mhc.pdb
[MHC_AUTO] 4WWK: [273] -> chain E
[SAVED] 4WWK: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=104; output=4wwk_trimmed_mhc.pdb
[MHC_AUTO] 5L2K: [287] -> chain E
[BINDER_AUTO] 5L2K: D [303] -> chain F
[SAVED] 5L2K: action=auto_non_aminoacid_only; new_ligand_chains=['E', 'F']; moved=2; trimmed_removed=114; output=5l2k_trimmed_mhc.pdb
[MHC_AUTO] 7OKT: [170] -> chain B
[SAVED] 7OKT: action=auto_non_aminoacid_only; new_ligand_chains=['B']; moved=1; trimmed_removed=114; output=7okt_trimmed_mhc.pdb
[MHC_AUTO] 3VWJ: [255] -> chain E
[SAVED] 3VWJ: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=89; output=3vwj_trimmed_mhc.pdb
[MHC_AUTO] 5J1A: [271] -> chain C
[SAVED] 5J1A: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=267; output=5j1a_trimmed_mhc.pdb
[MHC_AUTO] 5WKE: [280] -> chain E
[MHC_AUTO] 5WKE: [289] -> chain F
[SAVED] 5WKE: action=auto_non_aminoacid_only; new_ligand_chains=['E', 'F']; moved=2; trimmed_removed=351; output=5wke_trimmed_mhc.pdb
[MHC_AUTO] 5WKG: [283] -> chain E
[MHC_AUTO] 5WKG: [282] -> chain F
[SAVED] 5WKG: action=auto_non_aminoacid_only; new_ligand_chains=['E', 'F']; moved=2; trimmed_removed=317; output=5wkg_trimmed_mhc.pdb
[MHC_AUTO] 1ZT4: [273] -> chain C
[SAVED] 1ZT4: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=102; output=1zt4_trimmed_mhc.pdb
[MHC_AUTO] 6V80: [275] -> chain G
[SAVED] 6V80: action=auto_non_aminoacid_only; new_ligand_chains=['G']; moved=1; trimmed_removed=97; output=6v80_trimmed_mhc.pdb
[MHC_AUTO] 4MQ7: [270] -> chain C
[SAVED] 4MQ7: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=158; output=4mq7_trimmed_mhc.pdb
[SAVED] 7FI8: non-problematic trimmed; trimmed_removed=110; output=7fi8_trimmed_mhc.pdb
[MHC_AUTO] 5WKI: [268] -> chain F
[BINDER_AUTO] 5WKI: D [308] -> chain G
[SAVED] 5WKI: action=auto_non_aminoacid_only; new_ligand_chains=['F', 'G']; moved=2; trimmed_removed=143; output=5wki_trimmed_mhc.pdb
[MHC_AUTO] 8ZOX: [272] -> chain E
[BINDER_AUTO] 8ZOX: D [302] -> chain F
[SAVED] 8ZOX: action=auto_non_aminoacid_only; new_ligand_chains=['E', 'F']; moved=2; trimmed_removed=97; output=8zox_trimmed_mhc.pdb
[MHC_AUTO] 7KOZ: [274] -> chain C
[SAVED] 7KOZ: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=167; output=7koz_trimmed_mhc.pdb
[MHC_AUTO] 8C44: [166] -> chain C
[SAVED] 8C44: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=3; output=8c44_trimmed_mhc.pdb
[MHC_AUTO] 1UQS: [282] -> chain C
[SAVED] 1UQS: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=158; output=1uqs_trimmed_mhc.pdb
[MHC_AUTO] 4X6F: [264] -> chain C
[SAVED] 4X6F: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=198; output=4x6f_trimmed_mhc.pdb
[MHC_AUTO] 4X6C: [266] -> chain E
[SAVED] 4X6C: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=101; output=4x6c_trimmed_mhc.pdb
[SAVED] 4FFE: non-problematic trimmed; trimmed_removed=86; output=4ffe_trimmed_mhc.pdb
[MHC_AUTO] 6C15: [276] -> chain C
[SAVED] 6C15: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=120; output=6c15_trimmed_mhc.pdb
[SAVED] 7XXA: non-problematic trimmed; trimmed_removed=1; output=7xxa_trimmed_mhc.pdb
[SAVED] 3S6C: non-problematic trimmed; trimmed_removed=206; output=3s6c_trimmed_mhc.pdb
[SAVED] 4PDC: non-problematic trimmed; trimmed_removed=167; output=4pdc_trimmed_mhc.pdb
[SAVED] 3IT8: non-problematic trimmed; trimmed_removed=132; output=3it8_trimmed_mhc.pdb
[UPDATED] current_problematic_removed=['1GZP', '1GZQ', '1HSB', '1L8J', '1ONQ', '1T7V', '1UQS', '1XZ0', '1ZT4', '2H26', '2PO6', '3ES6', '3HUJ', '3OV6', '3SDX', '3T8X', '3TZV', '3U0P', '3UPR', '3VRI', '3VRJ', '3VWJ', '3VWK', '4EN3', '4GUP', '4L4T', '4L4V', '4LCW', '4LHU', '4MNG', '4MQ7', '4NQC', '4NQD', '4NQE', '4ONO', '4PJ5', '4PJ7', '4PJ8', '4PJ9', '4PJA', '4PJB', '4PJC', '4PJD', '4PJE', '4PJF', '4PJG', '4PJH', '4PJI', '4PJX', '4V3D', '4V3E', '4WO4', '4WW2', '4WWK', '4X6C', '4X6D', '4X6E', '4X6F', '5C9J', '5D5M', '5D7I', '5D7J', '5D7L', '5J1A', '5L2J', '5L2K', '5U16', '5U17', '5U1R', '5U2V', '5U6Q', '5U98', '5WKE', '5WKG', '5WKI', '5WL1', '6APN', '6C09', '6C15', '6CUG', '6D64', '6D7G', '6MWR', '6NUX', '6PUC', '6PUD', '6PUE', '6PUF', '6PUG', '6PUH', '6PUI', '6PUJ', '6PUK', '6PUL', '6PUM', '6PVC', '6PVD', '6SNY', '6TDO', '6TDP', '6TDQ', '6V7Y', '6V7Z', '6V80', '6VQY', '6VQZ', '6W9U', '6XQP', '7KOZ', '7KP0', '7KP1', '7LLI', '7LLJ', '7MX4', '7MXF', '7MXH', '7OKS', '7OKT', '7OKU', '7OKV', '7Q5D', '7RYN', '7RYO', '7SH4', '7SQP', '7SR0', '7SR3', '7SR4', '7SR5', '7SRK', '7SSH', '7ST3', '7UFJ', '7UMG', '7ZT2', '7ZT4', '7ZT5', '7ZT7', '7ZT8', '7ZT9', '8BP6', '8C44', '8DV3', '8DV4', '8FRT', '8GLE', '8GLF', '8GLG', '8GLH', '8GLI', '8SGB', '8SGM', '8SOS', '8TNJ', '8Y6X', '8ZOX', '9BTX', '9BTY', '9BTZ', '9BU0', '9C3E', '9C6V', '9C6W', '9C6X', '9CGR']
[UPDATED] current_problematic_remaining=0

[SUMMARY] STEP6.1
[OUT] /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/2_trimmed_mhc
